time,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7
66852503,155,148,117,185,89,122,3871
66885836,153,148,116,185,86,119,3238
66919169,155,147,117,183,88,121,2741
66952502,156,148,117,184,86,120,2312
66985835,154,148,117,183,86,122,1933
67019168,155,148,117,184,87,121,1610
67052501,155,148,117,184,86,122,1314
67085834,158,147,116,185,85,123,1104
67119167,155,151,117,183,87,122,935
67152500,155,148,116,184,84,120,757
67185833,154,148,118,184,87,121,598
67219166,154,145,114,181,90,122,468
67252499,154,147,116,184,89,123,361
67285832,155,148,117,184,88,125,298
67319165,156,148,116,185,89,123,257
67352498,155,147,116,184,88,122,227
67385831,154,147,117,183,87,122,210
67419164,155,148,116,185,87,122,206
67452497,155,148,116,185,88,122,3871
67485830,155,148,117,184,88,122,3264
67519163,155,148,117,183,88,123,2804
67552496,154,148,116,183,87,123,2411
67585829,154,147,115,185,87,121,2049
67619162,154,148,116,184,88,122,1710
67652495,155,148,116,183,87,123,1397
67685828,155,147,115,183,89,123,1148
67719161,155,148,114,185,87,119,913
67752494,153,149,116,183,88,123,710
67785827,156,147,116,184,89,122,542
67819160,156,148,116,183,88,122,417
67852493,156,147,114,184,87,123,329
67885826,155,148,117,184,85,123,277
67919159,155,147,116,185,87,124,238
67952492,155,148,117,184,95,124,219
67985825,156,148,117,183,89,125,214
68019158,155,147,116,183,86,123,3870
68052491,156,147,116,185,87,121,3199
68085824,157,147,117,183,89,124,2708
68119157,156,147,116,187,90,123,2271
68152490,156,148,118,185,89,123,1860
68185823,155,148,116,183,89,123,1549
68219156,156,147,116,184,88,124,1292
68252489,156,147,116,184,89,123,1087
68285822,155,147,116,183,86,120,919
68319155,156,147,116,184,89,123,728
68352488,155,148,115,185,91,123,531
68385821,155,150,117,184,91,123,401
68419154,155,148,117,183,89,122,314
68452487,156,148,116,184,90,123,262
68485820,155,147,116,185,88,122,237
68519153,155,147,116,185,88,123,225
68552486,155,148,117,185,86,123,3869
68585819,156,147,116,184,88,123,3501
68619152,155,148,116,184,87,125,2969
68652485,155,148,116,183,95,121,2523
68685818,156,149,116,184,93,123,2103
68719151,154,148,116,183,89,123,1713
68752484,155,148,116,183,90,123,1393
68785817,155,147,117,183,86,125,1182
68819150,155,148,117,185,87,122,1002
68852483,155,147,119,186,87,123,768
68885816,155,147,117,185,88,122,556
68919149,155,147,117,184,89,123,447
68952482,155,148,118,185,86,123,386
68985815,156,148,119,185,86,123,327
69019148,156,147,116,185,90,123,273
69052481,154,147,116,184,87,122,235
69085814,154,148,114,186,88,119,220
69119147,156,147,117,185,86,121,3868
69152480,155,147,115,187,87,121,3402
69185813,155,148,116,185,87,122,2903
69219146,155,148,114,184,89,122,2484
69252479,155,148,116,185,90,123,2126
69285812,155,147,117,185,89,121,1771
69319145,154,147,116,184,90,123,1444
69352478,155,147,117,184,97,123,1179
69385811,155,147,117,184,94,125,955
69419144,155,148,116,185,91,124,761
69452477,155,147,117,185,90,124,563
69485810,156,147,116,184,89,122,419
69519143,155,148,116,184,89,122,330
69552476,155,147,116,183,86,123,270
69585809,155,147,116,183,89,122,238
69619142,155,148,116,184,88,123,224
69652475,155,147,116,185,88,123,213
69685808,156,147,116,184,88,122,208
69719141,155,148,116,184,87,123,3869
69752474,155,147,117,186,87,123,3484
69785807,155,147,120,184,88,123,2908
69819140,155,148,116,184,87,123,2425
69852473,155,149,115,184,87,122,2028
69885806,156,147,116,183,88,123,1704
69919139,155,147,116,184,89,122,1422
69952472,156,147,116,184,86,122,1186
69985805,155,147,120,184,85,123,969
70019138,155,148,116,184,89,122,758
70052471,155,149,116,184,89,123,584
70085804,154,147,116,184,96,124,445
70119137,155,147,116,184,93,124,343
70152470,156,147,116,185,87,126,287
70185803,155,147,116,185,88,122,243
70219136,155,147,116,185,86,123,220
70252469,154,147,117,184,89,123,210
70285802,155,148,116,184,88,123,3870
70319135,155,147,116,184,88,122,3196
70352468,156,148,117,184,89,123,2765
70385801,154,147,117,184,90,124,2410
70419134,155,147,117,186,90,123,2056
70452467,156,146,115,186,91,120,1678
70485800,155,147,116,186,89,121,1307
70519133,158,147,117,184,87,123,1004
70552466,156,148,116,185,89,120,785
70585799,156,147,116,185,87,123,616
70619132,154,148,117,183,87,123,468
70652465,155,148,117,184,89,124,359
70685798,155,148,116,184,89,122,295
70719131,154,146,116,184,87,123,250
70752464,155,147,116,184,90,123,224
70785797,155,147,116,184,89,123,217
70819130,156,147,116,184,91,122,3869
70852463,155,144,116,184,89,125,3470
70885796,157,145,116,183,88,126,2735
70919129,155,147,116,184,88,123,2067
70952462,154,147,116,184,86,123,1734
70985795,155,148,116,185,86,123,1484
71019128,155,148,116,183,83,123,1127
71052461,155,148,116,183,83,123,859
71085794,155,148,117,184,86,123,708
71119127,156,148,117,181,85,123,604
71152460,155,148,117,185,86,120,528
71185793,155,148,115,185,83,123,408
71219126,155,145,116,184,85,123,324
71252459,155,150,117,184,89,123,267
71285792,157,149,120,184,87,122,240
71319125,155,147,116,185,85,120,221
71352458,156,147,116,181,86,121,210
71385791,156,148,117,186,86,123,198
71419124,156,147,117,184,86,122,192
71452457,156,147,116,183,86,123,193
71485790,156,147,117,187,85,123,3878
71519123,155,147,116,184,92,122,3657
71552456,156,147,116,183,89,127,3154
71585789,156,147,116,184,87,125,2707
71619122,155,148,117,185,85,123,2298
71652455,155,148,117,183,84,122,1974
71685788,156,147,116,183,84,123,1693
71719121,155,148,117,185,85,122,1407
71752454,156,144,116,184,87,122,1162
71785787,156,147,116,184,86,123,964
71819120,156,147,115,185,86,122,829
71852453,155,149,116,184,87,123,719
71885786,156,148,117,183,86,124,560
71919119,156,148,116,183,87,120,422
